"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*04yme*","Robert Sanchez","CHE","G","765","W (Thu)","26","@NOT Sat 9:30AM @BHA Wed11:45AM","0","0","17%","221.38","13%","-0.4%"
"*06c4q*","Anass Zaroury","BUR","F","882","W (Thu)","23","@TOT Sat 7:00AM","0","0","62%","129.36","13%","0%"
"*06329*","Manor Solomon","TOT","F","795","W (Thu)","24","BUR Sat 7:00AM MCI Tue12:00PM","0","0","17%","237.35","13%","+0.1%"
"*04rd0*","Bobby De Cordova-Reid","FUL","F","377","W (Thu)","31","MCI Sat 4:30AM","0","0","8%","329.43","12%","-0.3%"
"*06fx1*","Ansu Fati","BHA","F","420","W (Thu)","21","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","0%","-","12%","-0.2%"
"*06fwz*","Murillo","NOT","M","768","W (Thu)","21","CHE Sat 9:30AM","0","0","0%","-","12%","-0.6%"
"*05n3v*","Konstantinos Tsimikas","LIV","D","832","W (Thu)","27","@AVL Mon 12:00PM","0","0","9%","316.94","12%","-0.4%"
"*04tsc*","Jo?o Virg?nia","EVE","G","657","W (Thu)","24","SHU Sat 7:00AM","0","0","6%","341.02","12%","0%"
"*04rha*","Jason Steele","BHA","G","799","W (Thu)","33","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","42%","148.82","12%","-0.3%"
"*03frx*","Ola Aina","NOT","D","233","W (Thu)","27","CHE Sat 9:30AM","0","0","1%","1115.74","11%","+9.1%"
"*05tr5*","Mads Roerslev","BRF","D","752","W (Thu)","24","@BOU Sat 7:00AM","0","0","0%","1105.03","11%","-1.1%"
"*03hff*","Josh Cullen","BUR","M","366","W (Thu)","28","@TOT Sat 7:00AM","0","0","4%","366.45","11%","-0.4%"
"*02xtd*","Sam Johnstone","CRY","G","534","W (Thu)","31","@WOL Sat 7:00AM","0","0","12%","287.76","11%","-0.1%"
"*03rvw*","Harry Toffolo","NOT","D","816","W (Thu)","28","CHE Sat 9:30AM","0","0","0%","-","11%","-0.1%"
"*06clv*","Mahmoud Dahoud","BHA","M","371","W (Thu)","28","@NEW Sat 7:00AM CHE Wed11:45AM","0","0","41%","145.02","11%","0%"
"*0620k*","Nayef Aguerd","WHU","D","228","W (Thu)","28","LUT Sat 7:00AM","0","0","14%","267.04","11%","-0.3%"
"*06c4p*","Benson Manuel","BUR","F","593","W (Thu)","27","@TOT Sat 7:00AM","0","0","18%","229.28","11%","0%"
"*05n0a*","Wes Foderingham","SHU","G","427","W (Thu)","33","@EVE Sat 7:00AM","0","0","3%","389.37","10%","+0.3%"
